Datetime,Tweet Id,Text,Username
2021-05-26 10:04:19+00:00,1397493794665385985,"My latest article on Iran's sham election. By approving such a narrow band of candidates, Guardian Council has severely limited people's choice. Thus it has made election meaningless.
Iran:  The Election Trump did succeed in Spoiling https://t.co/HUWCtWXPYI via @jricole",FJShirazi
2021-05-26 10:04:18+00:00,1397493790827495429,"But thats what all plaasmoorde okes do, even those 2 swines who left here to asl for trumps help are riding around with sum thucked stats https://t.co/i8HTvF2wCY",kabzalone
2021-05-26 10:04:18+00:00,1397493789485375490,"Racist, corrupt, liar, misogynist, in debt to unknown people... can you tell the difference between trump and @BorisJohnson? #ToryCorruption #TorySleaze #ToryFascism",SongoftheOss
2021-05-26 10:04:17+00:00,1397493787073581059,@ABC Trump probe..ALL probe will do cost taxpayers millions dollars &amp; go nowhere cause eventually federal judge will rule against any case the district attorney Manhattan brings against President Trump..and good luck trying to bring to court..first get by secret service escorts..!,Edward20173
2021-05-26 10:04:15+00:00,1397493778856955906,Everyone piles on after Manhattan DA puts grand jury in place to criminally indict Donald Trump #GoingToGrandJury #4Indictments https://t.co/YvJhv3z4iF via @PalmerReport,buddy_dek
2021-05-26 10:04:15+00:00,1397493778672492550,Obama Judge Uses 200-year-old Ruling to Claim Bannon Was Guilty by Accepting President Trump's Pardon - Then Dismisses Case https://t.co/0bV1NsjeoC via @gatewaypundit,AngelaR65696516
2021-05-26 10:04:15+00:00,1397493777032523777,@Donaldl12996532 @nypost Libtards found him poetic and anti trump. How perfect.,GulagPrisoner0
2021-05-26 10:04:13+00:00,1397493768404750338,"@DesignationSix I would love to see one. But I have yet to see Trump face any consequences for anything. Maybe someone in his org will get fined or spend some time in lock up. Then it's done, and people move on. Even now--Biden's DOJ is protecting him at the fed level--which I didn't expect.",TracieHarris
2021-05-26 10:04:12+00:00,1397493764864741377,"News Brief: Manhattan Trump Probe, Pipeline Security, Opioid Trial  &gt; https://t.co/rzyn2kNxeI #technews #technology #news",techdotintel
2021-05-26 10:04:08+00:00,1397493747219320834,@LBC This is like the Trump and bleach situation.,TrEKxpert
2021-05-26 10:04:08+00:00,1397493746564960258,@ASlavitt I’m pretty confident Trump did the same with kids when he recognized their names on caller ID and wasn’t busy cover up sex scandals.,jmeyer61
2021-05-26 10:04:05+00:00,1397493735357812741,"@Cointelegraph @elonmusk Instead of #trump we now have… Yeah, once you see it you cannot un-see it! @IOTA #IOTAstrong @cryptonews",wiredutch
2021-05-26 10:04:05+00:00,1397493734154063873,Trump and Boris and ALL their following orders minions need to be charged with crimes against humanity.,ApsyAngst
2021-05-26 10:04:04+00:00,1397493731478097920,"@MilesTaylorUSA @shiraz43 If the GOP truly feared for their lives because of Trump, they had &amp; still have the power to restrain him. Spare me the whining.",Disciple_Love
2021-05-26 10:04:01+00:00,1397493718396162049,"Conservatives Are Turning On One Of tRump’s Favorite Pollsters After They Show President Biden’s Approval Rating At An All-Time High...

😂 Poor conservatives don't agree with one of their favorite polls, so their little fee fees are hurt. Sad... https://t.co/66oruGew0z",mcspocky
2021-05-26 10:04:01+00:00,1397493718215806979,"@ladydawshan @metcihan Trump kaybetti Biden kazandı diye...
Kaybedenler tekrar kaybetmedi. Hukukun üstünlüğü var demokrasi var topluma sahip çıkmak var. Bizde öyle mi. Ya bendensin ya değilsin zihniyeti zaten bu hale getiriyor. Bırakın şu ırkçı tavırları...",khrmn31
2021-05-26 10:04:01+00:00,1397493718085607426,So the Australian and UK really going for it to try and win the title of the most incompetent and corrupt government in the western world now that the Trump administration is gone...🙄😒,jjjove
2021-05-26 10:03:59+00:00,1397493712834506757,C'est quand même vachement bien foutu le #PlanQ ! #Trump #Qanons #Kraken #MousDuQ https://t.co/PeceAjSbkT,GrandSachoir
2021-05-26 10:03:59+00:00,1397493712477954048,You could not write this…unless you are Armando Iannucci for the ‘Thick of it’. Trump wanting to bomb the Middle East and an article about the PM’s girlfriends dog delayed Govt’s plans on dealing with the pandemic plans on 12th March last year. https://t.co/hAGz38DMWl,ged_nolan
2021-05-26 10:03:55+00:00,1397493695054852096,Jill Biden ‘ you know what ISRAEL are doing MURDERING CHILDREN on a Daily Basis Melania Trump Is as Guilty as her Husband They both Lit The Blue Touch paper 5 Years ago for GENOCIDE against Children you &amp; Mr Biden are fanning The FLAMES😡😡 #getglazersout #FreePalestine 💖🇵🇸🇨🇮💖 https://t.co/1B0Ko7ajAi,buchan1972
2021-05-26 10:03:55+00:00,1397493694387953667,Don't vote for Trump because: He is a racist and his wife cut the roses and an academically reclined. Vote for Ethan because he is a sane and a good at teaching javascript,ForPlaut
2021-05-26 10:03:55+00:00,1397493693851054083,É melhor um Boris que um Trump quando o resultado é o mesmo? O pessoal deixa-se mesmo deslumbrar por uma educação de Eton.,SexoGratweeto
2021-05-26 10:03:54+00:00,1397493690696933380,@earlofhampton Didn't like Trump but at least he was colourful - can't see him inviting them,NickFarmer3
2021-05-26 10:03:54+00:00,1397493687857254400,"@oldSchoolCM @AngryJoeShow @TheBigDS3 He wouldn't even defend his wife when Trump publicly insulted her, let alone the US and its people.",akmal94ibrahim
2021-05-26 10:03:52+00:00,1397493680009789443,"@LeaderMcConnell Try all you want to make Biden look bad,  but trump's crimes is making you guys look like idiots.",adrakes
2021-05-26 10:03:50+00:00,1397493674964135937,Being plugged into a good church is better than only listening to a podcast from a great church. Involvement trumps eavesdropping.,StevenMcleish
2021-05-26 10:03:49+00:00,1397493670673149956,"2021 Houston Texans Fantasy Team Outlook: With or without Deshaun Watson, this is a not a good, very bad team - https://t.co/n2hboLVbWW #pickmenomics #biden #trump #usa #radio #webplayer https://t.co/O2v7wTqhSu",Sentinels24
2021-05-26 10:03:49+00:00,1397493667598843908,"@DawidWildstein Wiadomo, jakby Trump był to by NordStreamu nie było, dlatego za jego kadencji nawet go nie ruszono...oh wait",kilian87844991
2021-05-26 10:03:46+00:00,1397493657742102533,#news #politics #wednesdaymotivation #illegalimmigration #governorcuomo #cnn #chriscuomo #bordercrisis #biden #kamalaharris #patriot #maga #randpaul #america #trump https://t.co/lgyseYWrG1,ToddHuffShow
2021-05-26 10:03:44+00:00,1397493649450147840,"The secret memo Bill Barr used to clear Trump of obstruction of justice, and why the Biden DOJ wa... https://t.co/aDvqOFAPXH via @YahooNews",lglmoss
2021-05-26 10:03:41+00:00,1397493635252473858,@realTuckFrumper @UROCKlive1 She need to goes maga on Trump instead.,Starabelle32
2021-05-26 10:03:41+00:00,1397493634874871809,"@mrjamesob Tricky, they're down to choosing between Burke and Hare, I think ultimately the tabloids will turn the water cannons on Cummings, he will be their next Liz Cheney in as far as the Trump playbook is still being relentlessly adhered to.",DavidPo57071410
2021-05-26 10:03:39+00:00,1397493626482069504,@CNNPolitics Without President Trump to lie about your network has nothing! https://t.co/P6IN2hrxt4,mary_ancipink
2021-05-26 10:03:38+00:00,1397493623948779520,@maggieNYT still propagating Trump talk...,1ce2EveryMan
2021-05-26 10:03:35+00:00,1397493609923026946,"@AdamShawNY @RepBuddyCarter The reason Trump isn't in jail is because we have to protect the intelligence sources who could easily put him there.

You both know this is true. Jan 6 proves you have no conscience about it.
https://t.co/C7UJYD0tMI",GoodCitizenGa1
2021-05-26 10:03:35+00:00,1397493608698327042,@FabiiRosales Fabiana no seas absurda ni mediocre aquí en esta vaina toda Venezuela está clara que esto no saldrá con ninguna ruta ni mecanismo de ningún tipo ustedes parecen ratas intentando de sobrevivir al peligro no lograron nada con tremenda ayuda de Donal Trump tu me dirás.,niblanca
2021-05-26 10:03:34+00:00,1397493605607124993,@FoxNews Perhaps if media outlets like you and @GOP would quit pushing the big lie and pointing ugly crooked fingers we would be better. He has worked diligently without one ugly word back to all these nasty comments. Trump would’ve been blowing up Twitter spewing at everybody. Sick tweet,wendym90680211
2021-05-26 10:03:33+00:00,1397493603824398336,"Hey, U american doesn't know the terrible fact. She, Elizabeth #Cheney is just stupid-pale-bitch. She was prostrate to #Trump about ""#Russiangate"". Read it!
https://t.co/ZZhK1AYQSJ
#lizcheneyisbitch https://t.co/zEgu8244L0",HEditroom
2021-05-26 10:03:33+00:00,1397493603543433221,@GOPLeader loves Nazi sympathizer and Holocaust denials like @mtgreenee Trump https://t.co/FxSB80DWxf,torbor_n
2021-05-26 10:03:31+00:00,1397493594034954240,"Given that DOJ has apparently decided not to prosecute the 11 slam-dunk obstruction cases against Trump, this decision to back a lie in court smacks of—in the literal but noncriminal sense—obstruction of justice. A way to keep people from getting angry about the lack of charges. https://t.co/quNGa9US9g",SethAbramson
2021-05-26 10:03:30+00:00,1397493591220662272,President Trump was right...............about everything,lsferguson
2021-05-26 10:03:30+00:00,1397493589266112517,"USA is now a reality show...
#Trump  &amp; #Cohen were born for each other. Can't decide who is worse. I love it when liars call liars, liars. Makes me chuckle. 
https://t.co/a0zZ9C64yy",MConnollyittm
2021-05-26 10:03:29+00:00,1397493585801621504,"12 Mar 2020: #UKGovernment distracted from acting on #Covid because #Trump wanted #UK to bomb Middle East and there was upset inside No.10 about press coverage of #BorisJohnson, #CarrieAntoinette and their dog? https://t.co/qG4oGTJmXN",banffmacduffsnp
2021-05-26 10:03:28+00:00,1397493582899068928,@zerohedge Why is there a picture of Trump? Biden is the POTUS now,mehmed1071
2021-05-26 10:03:27+00:00,1397493578327367680,"Passos Coelho é o homem que, discretamente, se posiciona na fila da frente. Foi assim ontem, no MEL, foi assim há uns meses, na apresentação do livro Gabriel Mithá Ribeiro, ideólogo do Chega, que exalta o autoritarismo e começa c/ dedicatória a Bolsonaro, Orban e Trump. Got it?",Zackarias_
